"«Рождённая мечтой вечной ночи»","「영야몽상천생」"
"Перегруженные искры","광연「오버로드 마스터 스파크」"
"Волна ветра","환풍「광파노도」"
"Гора Фуюэ «Вид на небо Японии»","후지산「동해의 아름다운 경치」"
"Чудо «Камикадзе Хироана»","기적「코안의 카미카제」"
"Жар-птица - Легенда о бессмертном","「불새 - 불사전설」"
"Хакурей «Убийственная форма дракона»","신기「팔방용살진」"
"«Комета»","「블레이징 스타」"
"«Бессмертное самопожертвование»","「불사신의 투신」"
"«Возрождение бессмертной птицы»","「피닉스 재탄생」"
"Cambria","Malgun Gothic"
"Русский","한국어"
"Безрамочный","테두리 없는 창 모드"
"Эксклюзивный","전체 화면"
"Безрамочный (растянутое)","테두리 없는 창 모드 (강제 맞춤)"
"Эксклюзивный (растянутое)","전체 화면 (강제 맞춤)"
"Вниз","아래로 이동"
"Вверх","위로 이동"
"Влево","왼쪽 이동"
"Вправо","오른쪽 이동"
"Стрельба","공격"
"Спелл Карта","스펠 카드"
"Чары","스펠 카드"
"Заряд.","차지"
"Снизить скорость","저속 이동"
"Пауза","일시 정지"
"Пер. конфиг","공격 타입 변환"
"Индикатор автоматического огня","사격 탄막 투명도"
"Размер игрока","기체 크기"
"Размер дисплея","아이템 크기"
"Прозрачность интерфейса очков","스코어 아이템 투명도"
"Показывать центр игрока","피탄점 표시 설정"
"Цвет центральной точки","피탄점 색"
"Шаблон экрана","화면 프리셋"
"Дополнительно","상세 조정"
"Весь экран","불투명"
"Полупрозрачный экран","반투명"
"Слегка прозрачный экран","완전 투명"
"Стандарт","기본값"
"Средний","중간"
"Маленький","작음"
"Ориг.","큼"
"Сред.","기본값"
"Мал.","작음"
"На низкой скорости","저속 이동시 표시"
"Всегда","항상 표시"
"На низкой скорости (без креста)","저속 이동시 표시(십자 없음)"
"Всегда (без креста)","항상 표시(십자 없음)"
"Скрыть","표시하지 않음"
"Темный фон","배경 효과 감소"
"Фокусировка пуль","탄막 표시 지향"
"Все эффекты","모두 표시"
"Отображение эффектов","효과 디스플레이"
"Яркость фона","배경 밝기"
"Насыщенность экрана","채도"
"Контрастность","대비"
"Немного темнее","약간 어둡게"
"Сильно темнее","더 어둡게"
"Самый тёмный","가장 어둡게"
"Слегка серая","약간 낮게"
"Более серая","더욱 낮게"
"Низкая","낮음"
"Выберите слот сохранения","저장할 슬롯을 고르세요."
"Введите свою подпись","이름을 입력하세요."
"Повтор сохранён! Нажмите Назад, чтобы выйти","리플레이 저장 완료! 돌아가기 키를 눌러 나갈 수 있습니다."
"Не учитывается, если не входит в топ-10","스코어가 10위안에 들지 못할 경우 리플레이가 저장되지 않습니다."
"Хакурей Рейму","하쿠레이 레이무"
"Кирисаме Мариса","키리사메 마리사"
"Котия Санаэ","코치야 사나에"
"Фудзивара-но Моко","후지와라노 모코우"
"Обычный","보통형"
"Особый","특화형"
"Начать с начала","처음부터 시작"
"Начать с середины","중반부 부터 시작"
"Перейти к финальному боссу","보스전 부터 시작"
"Средняя","중간"
"Прогресс","완성도"
"Нормальный","기본값"
"Испытания","챌린지"
"Хардкорный","하드코어"
"Пользовательский","커스텀"
"Ресурсы","잔기/스펠카드 조각"
"Система","하이퍼(열광)"
"Кристаллы","결정 충전속도"
"Энергия","에너지 흡수율"
"Обычный дроп","기본값"
"Сокращение количества","적음"
"Без дропа","없음"
"Авто","기본값"
"Ручной","수동"
"Отключено","사용 불가"
"Медленнее","느림"
"Выкл.","없음"
"Нормальная скорость","기본값"
"Скорость 0,5×","절반(0.5배)"
